,INVOICE_UPDATE_DATETIME,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION,GTIN,PRODUCT_DESCRIPTION,new_invoice_description
16226,2021-08-10 01:36:21.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301003278,KENTUCKY ALE BOURBON BARREL 4 PAK,NEED TO INSPECT
16227,2021-08-10 01:36:21.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301010115,KENTUCKY ALE BOURBON BARREL CASE 6 - 4 PACKS,NEED TO INSPECT
16331,2021-08-10 01:36:36.000000,00087692009924,00087692009917,SA TRULY LEMN MIX 2/12C,00087692009917,TRULY WRAP 12X12OZ SLIM CAN TRULY VARIETY PACK VP LEMONADE,NEED TO INSPECT
16332,2021-08-10 01:36:36.000000,00087692009924,00087692009917,SA TRULY LEMN MIX 2/12C,00087692009924,TRULY TRAY 2X12PK CANS TRULY VARIETY PACK VP LEMONADE,NEED TO INSPECT
16339,2021-08-10 01:14:00.000000,00859243003398,00859243003398,TBBC CLOUDY   6/4 16OZ CN,00859243003398,TAMPA BAY BREWING COMPANY DONKEY SERIES,NEED TO INSPECT
16347,2021-08-10 01:00:27.000000,00852587005059,00852587005059,JACK SNOWMAN 4/6/12 CAN,00852587005059,SNOWMAN STOUT MOCHA BEER,NEED TO INSPECT
16454,2021-08-10 01:25:34.000000,00611269917475,00611269818994,RB 12Z SINGLES,00611269917475,RED BULL - BEVERAGE ENERGY DRINK 12OZ TRAY,NEED TO INSPECT
16456,2021-08-10 01:12:48.000000,798449008113,,COOP HAWK PKG SAUVIGNON BLANC SAUVIG,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
16457,2021-08-10 01:23:17.000000,00611269213843,00611269212457,RB KIWI TWIST 12Z SINGLES,00611269213843,RED BULL - BEVERAGE GREEN EDITION 12OZ TRAY,NEED TO INSPECT
16459,2021-08-10 01:25:04.000000,00611269423754,00611269716467,SF RB 12Z SINGLES,00611269423754,RED BULL - BEVERAGE SUGARFREE 12OZ TRAY,NEED TO INSPECT
16472,2021-08-10 01:25:28.000000,00611269991246,00611269991000,RB 8.4Z SINGLE,00611269991246,RED BULL - BEVERAGE ENERGY DRINK 8.4OZ TRAY,NEED TO INSPECT
16477,2021-08-10 01:17:32.000000,00083804047211,00083804047211,COOKS BRUT CHAMP NV,00083804047211,COOK'S CALIFORNIA CHAMPAGNE BRUT WHITE SPARKLING WINE 750ML,NEED TO INSPECT
16516,2021-08-10 01:27:39.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
16521,2021-08-10 01:37:02.000000,00859891003221,00859891003320,DE MIX TAPE 2/12/12 CN,00859891003320,IPA SAMPLER 12 PACK OF OZ CANS,NEED TO INSPECT
16522,2021-08-10 01:37:02.000000,00859891003221,00859891003320,DE MIX TAPE 2/12/12 CN,00859891003221,DEEP ELLUM MOTHER CARTON,NEED TO INSPECT
16532,2021-08-10 01:22:32.000000,071990300302,071990300302,12OZCAN30X1PK COORS LT,00071990300302,COORS LIGHT BEER 30 CT 12 OZ CAN IN BOX 360 OZ,NEED TO INSPECT
16543,2021-08-10 01:35:41.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
16544,2021-08-10 01:35:41.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
16561,2021-08-10 01:27:34.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
16563,2021-08-10 01:28:48.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
16564,2021-08-10 01:10:22.000000,00082000794981,00082000792574,SS V SEASONAL C24 12OZ 12P,00082000792574,SMIRNOFF SELTZER CHERRY CITRUS & BLUE RASPBERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
16566,2021-08-10 01:32:50.000000,00866419000082,00866419000082,CPRTL UNHOLY T C24 12OZ 6P,00866419000082,UNHOLY TRIPPEL - 6PK CASE BELGO-AMERICAN STYLE,NEED TO INSPECT
16610,2021-08-10 01:06:05.000000,00078000053166,00078000053166,A&W C 12PK 2/12ZERO ROOTB,00078000053166,A&W DIET ROOT BEER SODA 24/12OZ CANS,NEED TO INSPECT
16661,2021-08-10 01:30:46.000000,00078000032390,00078000032390,C DRY C 2/12PK ZERO GINGER LE,00078000032390,CANADA DRY LEMONADE 2/12/12OZ CANS,NEED TO INSPECT
16703,2021-08-10 01:35:30.000000,00635985240013,00635985100621,MIKE LEM 4/6/11.2BT,00635985240013,MIKES HARD LEMONADE MALT BEVERAGE 24 CT 11 OZ GLASS BOTTLE IN BOX 268.8 OZ,NEED TO INSPECT
16704,2021-08-10 01:35:30.000000,00635985240013,00635985100621,MIKE LEM 4/6/11.2BT,00635985100621,MIKES HARD LEMONADE MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
16749,2021-08-10 01:08:38.000000,868123000112,868123000112,ABB WOODY 4/6CAN,00868123000112,WOODY WHEAT 12OZ 6 PACK,NEED TO INSPECT
16755,2021-08-10 01:13:00.000000,00034100570231,034100570231,LITE ALUM PINT 2/9PK   16OZ,00034100570231,MILLER LITE BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,NEED TO INSPECT
16769,2021-08-10 01:14:47.000000,00082488127509,00082488127004,BECK'S NA 4/6/12 LNNR,00082488127509,HAAKE BECK NA MALT BEVERAGE 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
16770,2021-08-10 01:14:47.000000,00082488127509,00082488127004,BECK'S NA 4/6/12 LNNR,00082488127004,HAAKE BECK NA MALT BEVERAGE 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
16823,2021-08-10 01:25:04.000000,00611269546248,00611269546026,SF RB 20Z,00611269546248,RED BULL - BEVERAGE SUGARFREE 16OZ TRAY,NEED TO INSPECT
16824,2021-08-10 01:25:04.000000,00611269546248,00611269546026,SF RB 20Z,00611269546026,RED BULL - BEVERAGE SUGARFREE 16OZ EACH,NEED TO INSPECT
16847,2021-08-10 01:09:33.000000,,085200918751,S HOME MOSCATO 4PK 24C PET - CS24-187ML,00085200918751,SUTTER MH MSCTO DM MSCTL/MSCT 187 ML,NEED TO INSPECT
16866,2021-08-10 01:34:13.000000,00856727004124,00856727004124,WORTHY BREWING C 4/6 AM IPA,00856727004124,IPA WORTHY 12 OZ CAN,NEED TO INSPECT
16876,2021-08-10 01:57:37.000000,00810631030044,00850992005992,EXILE LOTUS 6NR,00810631030044,HOP CHRONICLES CASE 12OZ BOTTLES,NEED TO INSPECT
17045,2021-08-10 01:56:43.000000,00072890001573,00072890001597,HEIN LT 2/12LN,00072890001573,HEINEKEN PREMIUM LIGHT LAGER BEER 12 CT 12 OZ GLASS BOTTLE IN BOX 144 OZ,NEED TO INSPECT
17046,2021-08-10 01:56:43.000000,00072890001573,00072890001597,HEIN LT 2/12LN,00072890001597,HEINEKEN PREMIUM LIGHT LAGER BEER 12 CT 12 OZ GLASS BOTTLE IN BOX 144 OZ,NEED TO INSPECT
17087,2021-08-10 01:56:51.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603843,CHATEAU STE MICHELLE CHARDONNAY 12/750ML,NEED TO INSPECT
17088,2021-08-10 01:56:51.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603846,CHATEAU STE MICHELLE CHARDONNAY COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
17115,2021-08-10 01:57:51.000000,00857918007283,00857918007283,NEW VARIETY 2/12 CAN 12OZ,00857918007283,2020 MIXED 12 PACK 12PK MIX 12OZ CANS,NEED TO INSPECT
17143,2021-08-10 01:47:02.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
17144,2021-08-10 01:47:02.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
17158,2021-08-10 01:03:37.000000,723830100091,723830100091,LAG IPA 2/12/12 BTL,00723830100091,LAGUNITAS INDIA PALE ALE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
17164,2021-08-10 01:17:04.000000,00726959908876,00726959908869,BVD SS TANK 7 4-6-12 BTL,00726959908869,BOULEVARD TANK 7 FARMHOUSE ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
17205,2021-08-10 01:14:13.000000,018200963230,018200069918,ULTRA 24/12 2/12 CN,00018200963230,BUD LIGHT LIME BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
17226,2021-08-10 01:08:21.000000,034100073411,034100073411,MIB LT 30PK CAN,00034100073411,MILWAUKEES BEST LIGHT BEER 30 CT 12 OZ CAN IN BOX 360 OZ,NEED TO INSPECT
17459,2021-08-10 01:52:55.000000,00635985257257,00635985190035,MHL #POMBLUE 6 PK,00635985190035,MIKES HARD PEACH LEMONADE 4/6/11.2OZ BOTTLES,NEED TO INSPECT
17460,2021-08-10 01:52:55.000000,00635985257257,00635985190035,MHL #POMBLUE 6 PK,00635985257257,MIKES HARD SEASONAL MALT BEVERAGE 24 CT 11 OZ GLASS BOTTLE IN BOX 268.8 OZ,NEED TO INSPECT
17469,2021-08-10 01:43:36.000000,03410098930,03410098930,4/6/12NR REDD'S HARD APPLE BLACK CHERRY,00034100989309,REDDS CRANBERRY ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
17733,2021-08-10 01:35:51.000000,00859515003071,00859515003071,CIG V MIXED PK C24 12OZ 12P,00859515003071,MIXED CASE 12 PACK (JAI ALAI GUAYABERA FLORIDA CRACKER SPACE POPE),NEED TO INSPECT
17746,2021-08-10 01:36:55.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
17747,2021-08-10 01:36:55.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
17762,2021-08-10 01:29:08.000000,,00018200260759,BV MANGO 24/16 CN,00018200260759,BON & VIV SPIKED SELTZER MANGO MALT BEVERAGE 1 CT 16 OZ CAN 16 OZ,NEED TO INSPECT
17767,2021-08-10 01:37:00.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
17768,2021-08-10 01:37:00.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
17862,2021-08-10 01:12:39.000000,,085200618743,S HOME CHARD 24C PET - CS24-187ML,00085200618743,SUTTER HOME CHARDONNAY 187 ML,NEED TO INSPECT
17874,2021-08-10 01:27:39.000000,,852153001294,GERST AMBER 6PK - CS24-12Z,00852153001294,YAZOO GERST ALE 12 OZ NR,NEED TO INSPECT
17922,2021-08-10 01:40:25.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
17935,2021-08-10 01:45:19.000000,00858106001236,00858106001021,SH SS LOOKING 4/6 LNNR 12OZ,00858106001236,STARR HILL BREWING VARIETY 4/6/12OZ CAN,NEED TO INSPECT
17941,2021-08-10 01:40:25.000000,,80686436409,OLD OVERHOLT RYE 750ML,00080686436409,VH RYE 750X12 40% US GLS 1D,NEED TO INSPECT
17963,2021-08-10 01:56:46.000000,08858662184,08858662184,CSM JO RIES 750ML,00088586621840,CHATEAU STE MICHELLE RIESLING VINTAGE SELECT COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
17965,2021-08-10 01:56:32.000000,08858660183,08858660183,CSM CAB 750ML,00088586601835,CHATEAU STE MICHELLE CABERNET SAUVIGNON COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
18010,2021-08-10 01:40:53.000000,033544950401,033544950425,I-COP 12-2/12LNNR CORONA PREMI,00033544950425,CORONA PREMIER 2/12PK 12OZ BOTTLE,NEED TO INSPECT
18011,2021-08-10 01:40:53.000000,033544950401,033544950425,I-COP 12-2/12LNNR CORONA PREMI,00033544950401,CORONA PREMIER BEER 1 CT 12 OZ LONG NECK BOTTLE 12 OZ,NEED TO INSPECT
18050,2021-08-10 01:56:27.000000,852587005080,852587005080,JACK BEARWALK 4/6/12 CAN,00852587005080,BEARWALKER MAPLE BROWN ALE,NEED TO INSPECT
18075,2021-08-10 01:42:14.000000,00635985200246,00635985200253,MIK WHT BL CHE 4-6-12 CAN,00635985200253,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
18208,2021-08-10 01:47:51.000000,012000002243,,20OZ PL MDEW CD RD 1/24,00012000002243,MOUNTAIN DEW CODE RED SODA 24/20OZ PET,NEED TO INSPECT
18230,2021-08-10 01:22:28.000000,00611269423754,00611269716467,SF RB 12Z SINGLES,00611269423754,RED BULL - BEVERAGE SUGARFREE 12OZ TRAY,NEED TO INSPECT
18251,2021-08-10 01:14:51.000000,82422377953,080686835011,HORNITOS REP TEQ BAR,00080686835011,SZA HRN REPO 1000X12 40%W/HSHTG 6/12 RF,NEED TO INSPECT
18310,2021-08-10 01:21:25.000000,00611269423754,00611269716467,SF RB 12Z SINGLES,00611269423754,RED BULL - BEVERAGE SUGARFREE 12OZ TRAY,NEED TO INSPECT
18370,2021-08-10 01:13:01.000000,00034100570231,034100570231,LITE ALUM PINT 2/9PK   16OZ,00034100570231,MILLER LITE BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,NEED TO INSPECT
18371,2021-08-10 01:01:59.000000,00034100575090,00034100575090,LITE 2/12/12 LNNR,00034100575090,MILLER LITE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
18516,2021-08-10 01:12:57.000000,85606500204,85606500204,DEEP EDDY VODKA  LT,00856065002042,DE SPIRITS LLC 1L BOTTLE - DEV,NEED TO INSPECT
18599,2021-08-10 01:19:10.000000,00857240005117,00857240005117,OC OS ANGLER 4/6 LNNR 12OZ,00857240005117,OFFSHORE SEASONAL SIX-PACK,NEED TO INSPECT
18610,2021-08-10 01:37:01.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
18611,2021-08-10 01:37:01.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
18641,2021-08-10 01:41:53.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
18642,2021-08-10 01:41:53.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
18646,2021-08-10 01:56:23.000000,00853759000667,00853759000278,S/T 2X IPA 12 OZ NR 4/6,00853759000278,SOUTHERN TIER 2XIPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
18665,2021-08-10 01:44:08.000000,00863408000122,00863408000122,SUNRIVER C 4/6/12 VCMOS,00863408000122,VICIOUS MOSQUITO IPA 12OZ CAN,NEED TO INSPECT
18691,2021-08-10 01:52:20.000000,10859681004442,00859681004445,CRUX FERMENT C 4/6 BUSHY PA,00859681004445,ROTATOR SERIES 6-PACK 12OZ CANS,NEED TO INSPECT
18692,2021-08-10 01:52:20.000000,10859681004442,00859681004445,CRUX FERMENT C 4/6 BUSHY PA,10859681004442,ROTATOR SERIES FOUR 6-PACKS 12OZ CANS TRAY,NEED TO INSPECT
18729,2021-08-10 01:48:20.000000,756435006024,00089121288122,750ML  J LOHR EST 7OAKS CABSAUV  18,00756435006024,OTTER CREEK SEASONAL BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ,NEED TO INSPECT
18748,2021-08-10 01:50:32.000000,00866419000082,00866419000082,CT UNHOLY 4/6/12 CAN,00866419000082,UNHOLY TRIPPEL - 6PK CASE BELGO-AMERICAN STYLE,NEED TO INSPECT
18828,2021-08-10 01:59:15.000000,08600378036,08600378036,MOND CHARD BUTTERY PVT SEL 750,00086003780361,R MNDVI PS BTTR CHARDONNAY 750 ML,NEED TO INSPECT
18885,2021-08-10 01:54:34.000000,08858662184,08858662184,CSM JO RIES 750ML,00088586621840,CHATEAU STE MICHELLE RIESLING VINTAGE SELECT COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
18907,2021-08-10 01:42:51.000000,012000004520,,13.7OZ NR FRAP MCH 1/12,00012000004520,STARBUCKS FRAPPUCCINO MOCHA COFFEE 13.7OZ BOTTLE ,NEED TO INSPECT
18912,2021-08-10 01:47:39.000000,087692006619,786150001493,STELLA ARTOIS LAGER 18/11.2Z NR,00087692006619,ANGRY ORCHARD CARTON 4X6PK MOTHER ANGRY ORCHARD ROSE,NEED TO INSPECT
19195,2021-08-10 01:05:51.000000,00078000032390,00078000032390,C DRY C 2/12PK ZERO GINGER LE,00078000032390,CANADA DRY LEMONADE 2/12/12OZ CANS,NEED TO INSPECT
19210,2021-08-10 01:11:26.000000,00754527009946,00754527009946,NB VD HGR PLAN C24 12OZ 6P,00754527009946,NEW BELGIUM VOODOO ROTATING IPA SERIES BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
19217,2021-08-10 01:21:30.000000,00723830014060,00723830014060,LAG L SUMPN C24 12OZ 6P,00723830014060,LAGUNITAS A LITTLE SUMPIN SUMPIN ALE BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
19218,2021-08-10 01:31:44.000000,00866419000082,00866419000082,CPRTL UNHOLY T C24 12OZ 6P,00866419000082,UNHOLY TRIPPEL - 6PK CASE BELGO-AMERICAN STYLE,NEED TO INSPECT
19219,2021-08-10 01:22:55.000000,00723830014060,00723830014060,LAG L SUMPN C24 12OZ 6P,00723830014060,LAGUNITAS A LITTLE SUMPIN SUMPIN ALE BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
19229,2021-08-10 01:25:10.000000,851291006451,851291006451,TAB-B.C. ANGRY TOTEM 16Z CAN,00851291006451,BEACH CLUB SERIES TRIMTAB BREWING -,NEED TO INSPECT
19269,2021-08-10 01:19:29.000000,00754527010706,00754527010706,NB V VD HOPPY C24 12OZ 12P,00754527010706,NEW BELGIUM VOODOO RANGER HOPPY PACK VARIETY PACK BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
19286,2021-08-10 01:40:30.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
19302,2021-08-10 01:09:20.000000,080660957883,080660957876,NEGRA MODELO 12OZ NR 2/12,00080660957883,MODELO NEGRA BEER 24 CT 12 OZ GLASS BOTTLE IN BOX 288 OZ,NEED TO INSPECT
19313,2021-08-10 01:40:43.000000,085000025066,085000025062,BAREFOOT SANGRIA 6/1.5,00085000025062,TURNING LEAF WHT ZINFANDEL 750 ML,NEED TO INSPECT
19376,2021-08-10 01:44:42.000000,00611269283112,00611269283105,RB PEACH 24/12 LSE CAN,00611269283112,RED BULL - BEVERAGE PEACH EDITION 12OZ TRAY,NEED TO INSPECT
19459,2021-08-10 01:48:33.000000,00082000786320,00082000786313,SI SMSH STR LM C24 16OZ,00082000786313,SMIRNOFF ICE SMASH STRAWBERRY PLUS LEMON MALT BEVERAGE 1 CT 16 OZ CAN 16 OZ,NEED TO INSPECT
19461,2021-08-10 01:48:23.000000,850002665031,850002665031,COMMONHOUSE WISE ONE 24/12 CAN 4/6,00850002665031,WISE ONE SOUTH GERMAN-STYLE HEFEWEIZEN,NEED TO INSPECT
19528,2021-08-10 01:25:13.000000,087692171027,00083120102892,5.0    FRANZIA NV CRISP WHITE,00087692171027,TWISTED TEA CARRIER 6X12OZ BOTTLES TWISTED TEA BLUEBERRY,NEED TO INSPECT
19550,2021-08-10 01:21:26.000000,00611269546248,00611269546026,SF RB 20Z,00611269546248,RED BULL - BEVERAGE SUGARFREE 16OZ TRAY,NEED TO INSPECT
19551,2021-08-10 01:21:26.000000,00611269546248,00611269546026,SF RB 20Z,00611269546026,RED BULL - BEVERAGE SUGARFREE 16OZ EACH,NEED TO INSPECT
19597,2021-08-10 01:30:01.000000,00016571953393,00016571953393,TR ICE P12PACK 17PINK VARIETY,00016571953393,SPARKLING ICE VARIETY PINK PACK 12/17OZ PLASTIC BOTTLES,NEED TO INSPECT
19608,2021-08-10 01:05:17.000000,00704361121113,00704361990245,GL OHIO OATMEA 4/6 PK NR,00704361121113,GREAT LAKES SEASONAL – LEMON HEFE – OKTOBERFEST – SEAS SMASH IPA – CONWAY IRISH RED ALE 4/6/12OZ,NEED TO INSPECT
19609,2021-08-10 01:05:17.000000,00704361121113,00704361990245,GL OHIO OATMEA 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
19645,2021-08-10 01:02:47.000000,,0856065002042,DEEP EDDY VODKA LITER,00856065002042,DE SPIRITS LLC 1L BOTTLE - DEV,NEED TO INSPECT
19741,2021-08-10 01:31:42.000000,10859681004787,00859681004780,CRUX FERMENT C 4/6 SOLAR SA,10859681004787,SOLAR SAILOR IPA FOUR 6-PACKS 12OZ CANS TRAY,NEED TO INSPECT
19747,2021-08-10 01:06:29.000000,00078000052459,00078000052459,A&W 1L P 15/1L ROOTBE,00078000052459,A&W ROOT BEER SODA 15/1L PET,NEED TO INSPECT
19871,2021-08-10 01:48:11.000000,00754527004200,00754527004217,NB VOODOO IMP 6PK NR 12OZ,00754527004200,NEW BELGIUM VOODOO RANGER IMPERIAL IPA 4/6/12OZ BOTTLES,NEED TO INSPECT
19872,2021-08-10 01:48:11.000000,00754527004200,00754527004217,NB VOODOO IMP 6PK NR 12OZ,00754527004217,NEW BELGIUM VOODOO RANGER IMPERIAL IPA 4/6/12OZ BOTTLES,NEED TO INSPECT
19940,2021-08-10 01:45:06.000000,00034100570224,00034100570231,LITE 9PK ALM 16OZ,00034100570224,MILLER LITE BEER 18 CT 16 OZ ALUMINUM BOTTL IN BX 288 OZ,NEED TO INSPECT
19949,2021-08-10 01:53:32.000000,00853759000667,00853759000278,S/T 2X IPA 12 OZ NR 4/6,00853759000278,SOUTHERN TIER 2XIPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
19991,2021-08-10 01:45:28.000000,786162080004,,20Z PT 12LS_VW NRG,00786162080004,VITAMIN WATER ENERGY TROPIC CITRUS 1/12/20OZ PET,NEED TO INSPECT
19995,2021-08-10 01:59:47.000000,85606500210,85606500210,DEEP EDDY VDK RUBY RED 1.75L,00856065002103,DE SPIRITS LLC 1.75L BOTTLE - RR,NEED TO INSPECT
20010,2021-08-10 01:40:45.000000,012000021367,,15.2OZ PL OS CRAN 1/12,00012000021367,OCEAN SPRAY CRANBERRY JUICE 15.2Z PET,NEED TO INSPECT
20011,2021-08-10 01:57:29.000000,798449008113,,COOP HAWK PKG SPARKL RASPBER,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
20016,2021-08-10 01:45:49.000000,012000004520,,13.7OZ NR FRAP MCH 1/12,00012000004520,STARBUCKS FRAPPUCCINO MOCHA COFFEE 13.7OZ BOTTLE ,NEED TO INSPECT
20028,2021-08-10 01:01:00.000000,635985260455,635985260387,MIKES WHT CLAW BLKCHRY 12/19C,00635985260455,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 19 OZ CAN IN BOX 230.4 OZ,NEED TO INSPECT
20029,2021-08-10 01:01:00.000000,635985260455,635985260387,MIKES WHT CLAW BLKCHRY 12/19C,00635985260387,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
20048,2021-08-10 01:09:07.000000,00737530060043,00737530060043,SCH COFFEE STO 4-6-12 CAN,00737530060043,SCHLAFLY SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
20064,2021-08-10 01:01:38.000000,08068601240,08068601240,BASIL HAYDEN STRAIGHT BOURBON 6/CS  750ML,00080686012405,GS25-BASIL HAYDEN 40% 6X0.75L,NEED TO INSPECT
20142,2021-08-10 01:16:36.000000,00087692005063,00087692004905,TT PEACH CAN 12/24,00087692005063,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS REBEL JUICED,NEED TO INSPECT
20260,2021-08-10 01:01:39.000000,85606500209,85606500209,DEEP EDDY VODKA   RUBY RED  LT,00856065002097,DE SPIRITS LLC 1L BOTTLE - RR,NEED TO INSPECT
20263,2021-08-10 01:11:28.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301003278,KENTUCKY ALE BOURBON BARREL 4 PAK,NEED TO INSPECT
20264,2021-08-10 01:11:28.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301010115,KENTUCKY ALE BOURBON BARREL CASE 6 - 4 PACKS,NEED TO INSPECT
20273,2021-08-10 01:25:02.000000,087692000426,087692008217,AO VARIETY 2/12/12 CN-2,00087692008217,ANGRY ORCHARD WRAP 12X12OZ ANGRY ORCHARD EXPLORER PACK VP,NEED TO INSPECT
20278,2021-08-10 01:10:02.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
20279,2021-08-10 01:10:02.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
