,DISTRIBUTOR_FDC_ID,DISTRIBUTOR_FTS_ID,INVOICE_UPDATE_DATETIME,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION,GTIN,PRODUCT_DESCRIPTION,new_invoice_description
10041,14091,14091,2021-08-10 01:26:43.000000,00087692012047,00087692011675,TRU ICE T VAR 2-12-12 CAN,00087692011675,TRULY WRAP 12X12OZ SLIM CAN TRULY TEA VARIETY PACK VP,NEED TO INSPECT
10071,27,27,2021-08-10 01:22:59.000000,00723830014060,00723830014060,LAG L SUMPN C24 12OZ 6P,00723830014060,LAGUNITAS A LITTLE SUMPIN SUMPIN ALE BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
10104,14998,14998,2021-08-10 01:04:04.000000,00860003205402,00860003205402,MAC & JACK C 4/6 AFRICAN,00860003205402,AFRICAN AMBER 12 OZ CAN / SIX PACK ALE,NEED TO INSPECT
10210,467,467,2021-08-10 01:21:20.000000,080660956152,080660956152,2/12/12NR CORONA,00080660956152,CORONA EXTRA BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
10242,28849,28849,2021-08-10 01:14:53.000000,00034100570231,034100570231,LITE ALUM PINT 2/9PK   16OZ,00034100570231,MILLER LITE BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,NEED TO INSPECT
10253,7679,7679,2021-08-10 01:06:32.000000,,810631030327,EXILE RUTHIE 4/6 CAN,00810631030327,RUTHIE GOLD LAGER 6-PACK 12OZ CAN,NEED TO INSPECT
10344,12783,12783,2021-08-10 01:01:22.000000,08500001681,08500001681,CAMARENA TEQUILA   SILVER  LT,00085000016817,FAMILIA CMR SLV IM TEQ WHITE 1.0 LTR,NEED TO INSPECT
10351,4076557,121509,2021-08-10 01:26:52.000000,754527000233,754527000226,NB FAT TIRE 4/6/12 BTLS,00754527000233,FAT TIRE AMBER ALE 6PK BTL,NEED TO INSPECT
10354,14091,14091,2021-08-10 01:15:21.000000,00737530060128,00737530060128,SCH TASMA IPA 4-6-12 CAN,00737530060128,SCHLAFLY SPECIAL RELEASE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
10358,5322,5322,2021-08-10 01:10:56.000000,083783530988,083783381023,SN TORPEDO 2/12/12 CN,00083783381023,SIERRA NEVADA TORPEDO EXTRA IPA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
10385,5322,5322,2021-08-10 01:03:57.000000,723830100091,723830100091,LAG IPA 2/12/12 BTL,00723830100091,LAGUNITAS INDIA PALE ALE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
10412,11468,11468,2021-08-10 01:02:19.000000,754527000660,754527000660,NB-VD IPA 6PK BOTTLE,00754527000660,NEW BELGIUM VOODOO RANGER IPA 4/6/12OZ CANS,NEED TO INSPECT
10518,467,467,2021-08-10 01:02:57.000000,022100001701,022100001701,2/12/12CN PABST,00022100001701,PABST BLUE RIBBON BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
10523,13540,13540,2021-08-10 01:39:25.000000,087692291039,00083120002079,750    OAK LEAF NV CHARDONNAY,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
10529,13540,13540,2021-08-10 01:39:41.000000,087692291039,00083120001188,3.0    OAK LEAF NV PINOT GRIGIO / CO,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
10662,14999,14999,2021-08-10 01:09:44.000000,00817904000209,00638489003641,DOGFISH HEAD C 4/6 SLIGHTLY,00817904000209,ELYSIAN DAYGLOW IPA BEER 1 CT 22 OZ LONG NECK BOTTLE 22 OZ,NEED TO INSPECT
10680,37425,37425,2021-08-10 01:22:37.000000,087692291053,087692291039,S ADAMS GAMEDAY BEERS 2/12/12 NR,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
10688,57,57,2021-08-10 01:37:33.000000,00704361123124,00704361123124,GL GOLD PACK VAR 2/12 PK NR,00704361123124,GREAT LAKES VARIETY PACK BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
10695,14998,14998,2021-08-10 01:57:14.000000,20859681004623,00859681004629,CRUX FERMENT C 4/6 BUBBLE W,20859681004623,BUBBLE WRAP HAZY IPA FOUR 6-PACKS 12OZ CANS TRAY,NEED TO INSPECT
10749,12750,12750,2021-08-10 01:57:28.000000,00850992005022,00850992005015,EXILE RUTHIE 6PK BTL,00850992005022,RUTHIE CASE 12 OZ BOTTLES,NEED TO INSPECT
10773,7211,7211,2021-08-10 01:58:56.000000,018200000430,018200219863,BUD LIGHT 25OZ CAN 5 X 3PK,00018200000430,NATURAL LIGHT BEER 6 CT 16 OZ CAN 96 OZ,NEED TO INSPECT
10786,45307,45307,2021-08-10 01:30:44.000000,071670071065,071670071065,SAR12 BEERS OF IRISH ROOTS 2/12PK BTL 12OZ,00071670071065,SARANAC VARIETY 2/12/12OZ BOTTLE,NEED TO INSPECT
10800,13540,13540,2021-08-10 01:41:58.000000,859518002330,00791784901507,1.5    NEVADA COUNTY NV OUR DAILY RE,00859518002330,STOWAWAY INDIA PALE ALE 12PK OF 12OZ CANS,NEED TO INSPECT
10869,11031,11031,2021-08-10 01:55:15.000000,034100015091,034100015091,MHL 2/12 LNNR 24/12,00034100015091,MILLER HIGH LIFE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
10892,563,563,2021-08-10 01:57:38.000000,087692300519,087692300519,SA SEAS (SP) - COLD SNAP 4/6 LNNR,00087692300519,SAMUEL ADAMS CARTON 4X6PK MOTHER SAMUEL ADAMS SEASONAL,NEED TO INSPECT
10962,12750,12750,2021-08-10 01:54:32.000000,00850992005022,00850992005015,EXILE RUTHIE 6PK BTL,00850992005022,RUTHIE CASE 12 OZ BOTTLES,NEED TO INSPECT
11006,10059,10059,2021-08-10 01:43:36.000000,00611269122114,00611269101713,SF RED BULL 1/24 8.4OZ CAN,00611269101713,RED BULL - BEVERAGE SUGARFREE 8.4OZ EACH,NEED TO INSPECT
11007,10059,10059,2021-08-10 01:43:36.000000,00611269122114,00611269101713,SF RED BULL 1/24 8.4OZ CAN,00611269122114,RED BULL - BEVERAGE SUGARFREE 8.4OZ TRAY,NEED TO INSPECT
11009,529,529,2021-08-10 01:53:48.000000,850614008028,850614008028,SAUG PEANUT BUTTER PORTER 4/6 12OZ CAN,00850614008028,SAUGATUCK BREWING CO. BLUEBERRY LEMONADE SHANDY BOX,NEED TO INSPECT
11158,13540,13540,2021-08-10 01:48:32.000000,087692008040,00086003780217,750    MOND PRIV SEL 18 BOURBON BARR,00086003780217,R MNDVI PVT SEL CABERNET SAUV 750 ML,NEED TO INSPECT
11159,13540,13540,2021-08-10 01:48:32.000000,087692008040,00086003780217,750    MOND PRIV SEL 18 BOURBON BARR,00087692008040,TRULY WRAP 12X12OZ SLIM CAN TRULY VARIETY PACK VP TROPICAL,NEED TO INSPECT
11195,16832,16832,2021-08-10 01:22:55.000000,00853759000667,00853759000278,S/T 2X IPA 12 OZ NR 4/6,00853759000278,SOUTHERN TIER 2XIPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
11274,7051,7051,2021-08-10 01:12:19.000000,88586603846,,CSM CHARD COLUMBIA VLY,00088586603843,CHATEAU STE MICHELLE CHARDONNAY 12/750ML,NEED TO INSPECT
11431,63995,63995,2021-08-10 01:11:35.000000,00611269333596,00611269333572,RB PEACH 24/8.4 LSE CN,00611269333596,RED BULL - BEVERAGE PEACH EDITION 8.4OZ TRAY,NEED TO INSPECT
11432,63995,63995,2021-08-10 01:11:35.000000,00611269333596,00611269333572,RB PEACH 24/8.4 LSE CN,00611269333572,RED BULL - BEVERAGE PEACH EDITION 8.4OZ EACH,NEED TO INSPECT
11461,13540,13540,2021-08-10 01:25:43.000000,00635985257257,00635985060741,MIKE POMEGRNT BLUEBRRY 6P BT,00635985060741,MIKES HARD SEASONAL MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
11462,13540,13540,2021-08-10 01:25:43.000000,00635985257257,00635985060741,MIKE POMEGRNT BLUEBRRY 6P BT,00635985257257,MIKES HARD SEASONAL MALT BEVERAGE 24 CT 11 OZ GLASS BOTTLE IN BOX 268.8 OZ,NEED TO INSPECT
11474,66190,66190,2021-08-10 01:37:03.000000,,858612003144,DE VARIETY 12OZ 2/9 CANS,00858612003144,DOWNEAST CIDER HOUSE MIX PACK 1 9PK,NEED TO INSPECT
11577,15506,15506,2021-08-10 01:10:53.000000,798449008113,,COOP HAWK PKG SPARKL BLANC DE,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
11656,6214126,8231,2021-08-10 01:01:19.000000,859086004088,034100573409,LITE 18 PK CANS 18/12,00859086004088,HI-WIRE LAGER MOTHERBOX,NEED TO INSPECT
11712,8260,8260,2021-08-10 01:16:05.000000,00857641002890,00857641002890,24/187 BUZZBALLZ CHOCO          CHOC,00857641002890,BUZZBALLZ CHILLERS CHOCOCHILLER 187ML,NEED TO INSPECT
11815,66190,66190,2021-08-10 01:25:41.000000,00860438001624,00860438001624,WILLIE VARIETY 12OZ 2/12 CANS,00860438001624,WILLIE'S SUPERBREW 12-PACK MIXED,NEED TO INSPECT
11927,13017,13017,2021-08-10 01:39:16.000000,00859528003921,00859528003266,BM RED ZEPPLIN 4/6 LNNR 12OZ,00859528003921,BMB SEASONAL CASE BOX 4/6,NEED TO INSPECT
11950,20,20,2021-08-10 01:58:49.000000,00018200533082,00018200533082,BLT           18/12 NR,00018200533082,BUD LIGHT BEER 18 CT 12 OZ LONG NECK BTL IN BOX 216 OZ,NEED TO INSPECT
11957,19950,19950,2021-08-10 01:48:29.000000,00082000786344,00082000786337,SI SMSH STR LM C12 23.5OZ,00082000786337,SMIRNOFF ICE SMASH STRAWBERRY PLUS LEMON MALT BEVERAGE 1 CT 16 OZ CAN 16 OZ,NEED TO INSPECT
11959,19950,19950,2021-08-10 01:41:36.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
11987,14999,14999,2021-08-10 01:47:27.000000,00810273030174,00810273030174,MODERN C6/4/16 ELARA HAZY,00810273030174,HAZY IPA SPECIAL RELEASE 16OZ CAN,NEED TO INSPECT
11998,14091,14091,2021-08-10 01:49:02.000000,00737530212008,00737530120143,SCH STOU BOUT 2-12-12 BTL,00737530120143,SCHLAFLY SAMPLER BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
11999,14091,14091,2021-08-10 01:49:02.000000,00737530212008,00737530120143,SCH STOU BOUT 2-12-12 BTL,00737530212008,SCHLAFLY BREWING VARIETY 2/12/12OZ BOTTLE,NEED TO INSPECT
12105,7393,7393,2021-08-10 01:48:20.000000,756435006024,00089121288122,750ML  J LOHR EST 7OAKS CABSAUV  18,00756435006024,OTTER CREEK SEASONAL BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ,NEED TO INSPECT
12124,8,8,2021-08-10 01:50:32.000000,00866419000082,00866419000082,CT UNHOLY 4/6/12 CAN,00866419000082,UNHOLY TRIPPEL - 6PK CASE BELGO-AMERICAN STYLE,NEED TO INSPECT
12208,12368,12368,2021-08-10 01:59:15.000000,08600378036,08600378036,MOND CHARD BUTTERY PVT SEL 750,00086003780361,R MNDVI PS BTTR CHARDONNAY 750 ML,NEED TO INSPECT
12248,14091,14091,2021-08-10 01:47:01.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
12249,14091,14091,2021-08-10 01:47:01.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
12251,14091,14091,2021-08-10 01:42:26.000000,00635985800071,00635985800064,MIK WHTCLW VP2 2-12-12 CAN,00635985800071,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
12252,14091,14091,2021-08-10 01:42:26.000000,00635985800071,00635985800064,MIK WHTCLW VP2 2-12-12 CAN,00635985800064,WHITE CLAW HARD SELTZER FLAVOR COLLECTION NO 2 VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
12292,565,565,2021-08-10 01:19:01.000000,00854599007021,00854599007021,MS VARIETY 2/12 CAN,00854599007021,MIGHTY SWELL MIXED CASE 12PK-V1,NEED TO INSPECT
12331,28584,28584,2021-08-10 01:34:54.000000,085000012338,,BURLWOOD CLRS CAB SV PRV RSV(ALDI) 750.000 ML,00085000012338,PETER VELLA BURGUNDY 5 LTR+,NEED TO INSPECT
12344,28849,28849,2021-08-10 01:35:40.000000,00752245141504,752245141504,WEIHEN HEFE   6PK 12.OZ,00752245141504,WEIHENSTEPHANER HEFE-WEISSBIER 4/6/11.2OZ BOTTLE,NEED TO INSPECT
12354,16832,16832,2021-08-10 01:22:50.000000,853759000261,853759000261,S/T EXTRA MILE 12 OZ CAN 4/6,00853759000261,SOUTHERN TIER SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
12367,15859,15859,2021-08-10 01:26:18.000000,00754527009052,00754527009052,NB VDR IPA 15/19.2 CAN,00754527009052,NEW BELGIUM VOODOO RANGER IPA BEER 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
12404,7278,7278,2021-08-10 01:28:49.000000,00085000021156,00085000021156,750ML  BAREFOOT SPRTZ CRISP WHITE,00085000021156,BAREFT R WHT SP FRUIT OTHER 750 ML,NEED TO INSPECT
12409,6684,6684,2021-08-10 01:06:04.000000,,00078000053401,DIET A & W PET 24/20,00078000053401,A&W DIET ROOT BEER SODA 24/20OZ PLASTIC BOTTLES,NEED TO INSPECT
12415,30260,30260,2021-08-10 01:25:47.000000,852587005080,852587005080,JACK BEARWALK 4/6/12 CAN,00852587005080,BEARWALKER MAPLE BROWN ALE,NEED TO INSPECT
12462,8489,8489,2021-08-10 01:20:58.000000,012000813313,,13.7OZ NR FRAP VAN 1/12,00012000813313,STARBUCKS FRAPPUCCINO VANILLA COFFEE 13.7OZ BOTTLE,NEED TO INSPECT
12463,15506,15506,2021-08-10 01:10:55.000000,798449008113,,COOP HAWK PKG CH RED,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
12467,3076686,113899,2021-08-10 01:15:57.000000,818094005753,197257,16OZ CN RKSTR SF 1/12,00818094005753,ROCKSTAR ENERGY DRINK SUGAR FREE 12/16OZ CAN,NEED TO INSPECT
12563,6684,6684,2021-08-10 01:41:31.000000,00087692752134,00087692752318,TT 1/2 N 1/2 CAN 12/24,00087692752134,TWISTED TEA TRAY 24OZ CAN TWISTED TEA HALF & HALF,NEED TO INSPECT
12564,6684,6684,2021-08-10 01:41:31.000000,00087692752134,00087692752318,TT 1/2 N 1/2 CAN 12/24,00087692752318,TWISTED TEA CAN 24OZ TWISTED TEA HALF & HALF,NEED TO INSPECT
12693,9369,9369,2021-08-10 01:01:02.000000,635985500056,635985548904,MIKES WHT CLAW VAR 2/12/12 CN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
12694,9369,9369,2021-08-10 01:01:02.000000,635985500056,635985548904,MIKES WHT CLAW VAR 2/12/12 CN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
12699,8260,8260,2021-08-10 01:26:43.000000,00018200967313,00018200069918,MICH U C 2/12/12,00018200069918,MICHELOB ULTRA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
12700,8260,8260,2021-08-10 01:26:43.000000,00018200967313,00018200069918,MICH U C 2/12/12,00018200967313,MICHELOB ULTRA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
12713,6684074,143164,2021-08-10 01:20:58.000000,786162080325,,32Z PT 15LS_VW NRG,00786162080325,GLACEAU VITAMIN WATER ENERGY-KO 15/32OZ PET,NEED TO INSPECT
12723,9368,9368,2021-08-10 01:00:57.000000,635985800071,635985800064,MIKES WHT CLAW FLV#2 VAR2/12C,00635985800064,WHITE CLAW HARD SELTZER FLAVOR COLLECTION NO 2 VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
12724,9368,9368,2021-08-10 01:00:57.000000,635985800071,635985800064,MIKES WHT CLAW FLV#2 VAR2/12C,00635985800071,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
12734,14091,14091,2021-08-10 01:01:08.000000,00723830000094,00723830000094,LAG IPA 4-6-12 BTL,00723830000094,LAGUNITAS INDIA PALE ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
12773,14998,14998,2021-08-10 01:24:33.000000,071990764005,00856375002305,7 SEAS BREWING C 4/6 NOMADIC,00071990764005,GEORGE KILLIANS IRISH RED LAGER BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
12778,9854,9854,2021-08-10 01:00:56.000000,,82000771586,CROWN ROYAL REGAL APPLE,00082000771586,C RYL APPLE CANDN BTL CAN 1.0 LTR,NEED TO INSPECT
12806,9,9,2021-08-10 01:03:02.000000,00631234421240,00631234421134,SW IPA        2-12/12 CAN,00631234421134,SWEETWATER INDIA PALE ALE BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
12832,10000,10000,2021-08-10 01:32:23.000000,00082000786344,00082000786290,SI SMSH PNE CO C12 23.5OZ,00082000786344,SMIRNOFF SMASH STRAWBERRY LEMONADE 2/6/23.5 OZ CAN,NEED TO INSPECT
12886,8405,8405,2021-08-10 01:29:05.000000,00082000778264,00082000757481,SM FLAVORS 4/6 SCREWDRIVR,00082000757481,SMIRNOFF MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
12913,14999,14999,2021-08-10 01:32:45.000000,00016571953393,00016571953393,TR ICE P12PACK 17PINK VARIETY,00016571953393,SPARKLING ICE VARIETY PINK PACK 12/17OZ PLASTIC BOTTLES,NEED TO INSPECT
12914,14999,14999,2021-08-10 01:08:22.000000,00078000011814,00078000011814,7-UP C 12PK 2/12 ZERO,00078000011814,7UP DIET ZERO SODA 2/12/12OZ CANS ,NEED TO INSPECT
13134,1247,1247,2021-08-10 01:37:33.000000,00635985257257,00635985060741,MIK POMEG BLUE 6PK BT,00635985060741,MIKES HARD SEASONAL MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
13135,1247,1247,2021-08-10 01:37:33.000000,00635985257257,00635985060741,MIK POMEG BLUE 6PK BT,00635985257257,MIKES HARD SEASONAL MALT BEVERAGE 24 CT 11 OZ GLASS BOTTLE IN BOX 268.8 OZ,NEED TO INSPECT
13155,12800,12800,2021-08-10 01:04:01.000000,,851834008171,VIVE MANGO 16OZ  6PK CANS - CS24-16Z,00851834008171,BRAXTON BREWING COMPANY VIVE 16OZ MANGO,NEED TO INSPECT
13156,12750,12750,2021-08-10 01:16:56.000000,00111111111117,00850016258069,B POCKT COBBLER 6PKC,00850016258069,BLACK CAT SERIES KETTLE SOUR - SIX PACK 12OZ CAN,NEED TO INSPECT
13206,125,125,2021-08-10 01:37:32.000000,00704361990122,00704361990122,GL IRISH ALE 2/12 PK NR,00704361990122,GREAT LAKES SEASONAL BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
13208,16832,16832,2021-08-10 01:07:12.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000105,SAMUEL ADAMS CARTON 4X6PK MOTHER SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
13209,16832,16832,2021-08-10 01:07:12.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000044,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
13224,10000,10000,2021-08-10 01:27:32.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
13255,125,125,2021-08-10 01:37:30.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
13273,22636,22636,2021-08-10 01:33:29.000000,00819942000166,00819942000166,OSKAR BLUES 12/19CN DALES,00819942000166,DALE'S PALE ALE 19.2OZ CAN,NEED TO INSPECT
13276,16832,16832,2021-08-10 01:09:29.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000105,SAMUEL ADAMS CARTON 4X6PK MOTHER SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
13277,16832,16832,2021-08-10 01:09:29.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000044,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
13334,7086,7086,2021-08-10 01:38:05.000000,085200105823,085200005796,SEAGLASS PINOT GRIGIO 12/750,00085200005796,SUTTER HM SV BL SAV BL/FME BL 1.5 LTR,NEED TO INSPECT
13380,1247,1247,2021-08-10 01:43:16.000000,00635985258551,00635985258759,MIKE LEM 24/16 OZ CANS,00635985258551,MIKES HARDER LEMONADE 6 / 4 PACK 16OZ,NEED TO INSPECT
13512,11816,11816,2021-08-10 01:40:30.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
13524,2332556,17253,2021-08-10 01:32:54.000000,642860900245,001820020269,BL SELTZ LEM VP 2/12CN,00642860900245,FOUNDERS ALL DAY IPA BEER 15 CT 12 OZ CAN IN BOX 180 OZ,NEED TO INSPECT
13557,1248,1248,2021-08-10 01:02:37.000000,034100173067,034100173067,MGD FLAT,00034100173067,MILLER GENUINE DRAFT BEER 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
13647,7146,7146,2021-08-10 01:19:51.000000,858770002447,858770002447,OMB COPPER 4/6/12 BTL,00858770002447,THE OLDE MECKLENBURG BREWERY COPPER ALTBIER - 6-12OZ PACK,NEED TO INSPECT
13747,14998,14998,2021-08-10 01:57:16.000000,00078000012194,00078000012194,7-UP P4/6/16.9 REGULAR,00078000012194,7UP SODA 4/6/500 ML PLASTIC BOTTLES,NEED TO INSPECT
13772,19950,19950,2021-08-10 01:40:25.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
13787,13017,13017,2021-08-10 01:45:19.000000,00858106001236,00858106001021,SH SS LOOKING 4/6 LNNR 12OZ,00858106001236,STARR HILL BREWING VARIETY 4/6/12OZ CAN,NEED TO INSPECT
13793,105870,105870,2021-08-10 01:40:25.000000,,80686436409,OLD OVERHOLT RYE 750ML,00080686436409,VH RYE 750X12 40% US GLS 1D,NEED TO INSPECT
13819,14091,14091,2021-08-10 01:46:50.000000,00635985800071,00635985800064,MIK WHTCLW VP2 2-12-12 CAN,00635985800071,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
13820,14091,14091,2021-08-10 01:46:50.000000,00635985800071,00635985800064,MIK WHTCLW VP2 2-12-12 CAN,00635985800064,WHITE CLAW HARD SELTZER FLAVOR COLLECTION NO 2 VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
13910,8260,8260,2021-08-10 01:51:34.000000,00806648102195,00806648102195,12/750 MARYHILL RED BLEND      RED B,00806648102195,MARYHILL WINEMAKER'S SPECIAL SELECT COLUMBIA VALLEY RED BLEND 12/750ML BOTTLE,NEED TO INSPECT
13916,14998,14998,2021-08-10 01:57:15.000000,,00859681004803,CRUX FERMENT C 6/4/16 SHAKE,00859681004803,SHAKESIDE STOUT 4-PACK 16OZ CANS,NEED TO INSPECT
13918,17598,17598,2021-08-10 01:53:16.000000,00712808812197,00712808701224,HB SEAS MIDNIGHT 4/6C,00712808812197,HIGHLAND BREWING VARIETY 4/6/12OZ BOTTLE,NEED TO INSPECT
13919,17598,17598,2021-08-10 01:53:16.000000,00712808812197,00712808701224,HB SEAS MIDNIGHT 4/6C,00712808701224,HIGHLAND BREWING VARIETY 4/6/12OZ BOTTLE,NEED TO INSPECT
13946,45307,45307,2021-08-10 01:02:21.000000,082000757481,082000757481,SM ICE SCREWDR 4/6PK BTL 11.2OZ,00082000757481,SMIRNOFF MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
13989,14998,14998,2021-08-10 01:09:21.000000,00078000033892,00078000033892,A&W C 10PK 7.5OZ ROOTBEER,00078000033892,A&W ROOT BEER SODA 3/10/7.5OZ CANS,NEED TO INSPECT
14000,14998,14998,2021-08-10 01:03:42.000000,00860003205402,00860003205402,MAC & JACK C 4/6 AFRICAN,00860003205402,AFRICAN AMBER 12 OZ CAN / SIX PACK ALE,NEED TO INSPECT
14001,14998,14998,2021-08-10 01:02:55.000000,00860003205402,00860003205402,MAC & JACK C 4/6 AFRICAN,00860003205402,AFRICAN AMBER 12 OZ CAN / SIX PACK ALE,NEED TO INSPECT
14045,16832,16832,2021-08-10 01:07:13.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000105,SAMUEL ADAMS CARTON 4X6PK MOTHER SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
14046,16832,16832,2021-08-10 01:07:13.000000,087692000105,087692000044,ADAMS ALPINE LAGER NR 4/6,00087692000044,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS SEASONAL OVERLAY,NEED TO INSPECT
14084,12368,12368,2021-08-10 01:25:32.000000,89659900217,89659900217,CHERRY PIE P NOIR THREE VYD+14,00896599002170,CHERRY TART PINOT MONT SB SONOMA,NEED TO INSPECT
14105,14998,14998,2021-08-10 01:06:31.000000,00078000152104,00078000152104,C DRY CUBE C 24/12 GINGER,00078000152104,CANADA DRY GINGER ALE SODA 24/12OZ CAN,NEED TO INSPECT
